ip_address,entrance
192.168.196.11,1
192.168.196.100,2
192.168.128.205,2
192.168.196.10,2
192.168.196.12,2
192.168.196.13,3
192.168.196.14,4
192.168.196.15,5
192.168.196.16,6
192.168.196.21,1
192.168.196.22,2
192.168.196.31,1
192.168.196.30,2
192.168.196.32,2
192.168.196.33,3
192.168.196.34,4
192.168.196.35,5
192.168.196.41,1
192.168.196.42,2
192.168.196.40,3
192.168.196.43,3
192.168.196.44,4
192.168.196.45,5
192.168.196.46,6
192.168.196.51,1
192.168.196.52,1
192.168.196.216,1
192.168.196.217,2
192.168.196.53,3
192.168.196.218,3
192.168.196.219,4
192.168.196.220,5
192.168.196.54,1
192.168.196.211,1
192.168.196.212,2
192.168.196.55,3
192.168.196.213,3
192.168.196.214,4
192.168.196.215,5
192.168.128.204,1
192.168.196.56,1
192.168.196.221,1
192.168.196.222,2
192.168.196.57,3
192.168.196.223,3
192.168.196.224,4
192.168.196.225,5
192.168.196.58,5
192.168.196.180,1
192.168.196.181,1
192.168.196.182,2
192.168.196.183,2
192.168.196.184,3
192.168.196.185,3
192.168.196.59,3
192.168.196.76,4
192.168.196.186,4
192.168.196.187,4
192.168.196.188,5
192.168.196.189,5
192.168.196.190,1
192.168.196.191,1
192.168.196.60,2
192.168.196.192,2
192.168.196.193,2
192.168.196.61,3
192.168.196.194,3
192.168.196.195,3
192.168.196.196,4
192.168.196.197,4
192.168.196.130,1
192.168.196.131,1
192.168.196.62,2
192.168.196.132,2
192.168.196.133,2
192.168.196.63,3
192.168.196.134,3
192.168.196.135,3
192.168.196.136,4
192.168.196.137,4
192.168.196.81,1
192.168.196.84,1
192.168.128.207,2
192.168.196.82,2
192.168.196.85,2
192.168.196.83,3
192.168.196.86,3
192.168.196.231,1
192.168.196.232,1
192.168.196.233,2
192.168.196.234,2
192.168.196.64,3
192.168.196.235,3
192.168.196.236,3
192.168.196.237,4
192.168.196.238,4
192.168.196.65,5
192.168.196.239,5
192.168.196.242,5
192.168.196.241,5
192.168.196.244,5
192.168.196.243,5
192.168.196.240,5
192.168.196.66,6
192.168.196.245,6
192.168.196.246,6
192.168.196.247,7
192.168.196.248,7
192.168.196.249,8
192.168.196.250,8
192.168.196.140,1
192.168.196.141,1
192.168.196.142,2
192.168.196.143,2
192.168.196.67,3
192.168.196.144,3
192.168.196.145,3
192.168.196.146,4
192.168.196.147,4
192.168.196.68,5
192.168.196.148,5
192.168.196.149,5
192.168.196.150,6
192.168.196.151,6
192.168.196.69,7
192.168.196.152,7
192.168.196.153,7
192.168.196.154,8
192.168.196.155,8
192.168.196.156,9
192.168.196.157,9
192.168.196.160,1
192.168.196.161,1
192.168.196.163,2
192.168.196.162,2
192.168.128.70,3
192.168.196.164,3
192.168.196.165,3
192.168.196.166,4
192.168.196.167,4
192.168.128.71,5
192.168.196.168,5
192.168.196.169,5
192.168.196.170,6
192.168.196.171,6
192.168.128.72,7
192.168.196.172,7
192.168.196.173,7
192.168.196.174,8
192.168.196.175,8
192.168.196.110,1
192.168.196.111,1
192.168.196.112,2
192.168.196.113,2
192.168.196.73,3
192.168.196.114,3
192.168.196.115,3
192.168.196.116,4
192.168.196.117,4
192.168.196.74,5
192.168.196.118,5
192.168.196.119,5
192.168.196.120,6
192.168.196.121,6
192.168.196.75,7
192.168.196.122,7
192.168.196.123,7
192.168.196.124,8
192.168.196.125,8
192.168.196.126,9
192.168.196.127,9
192.168.196.206,0
192.168.196.90,1
192.168.196.91,1
192.168.196.92,2
192.168.196.93,2
192.168.196.94,3
192.168.196.95,3
192.168.196.96,4
192.168.196.97,4
192.168.196.98,5
192.168.196.99,5
192.168.196.198,6
192.168.196.199,6
192.168.195.101,1
192.168.195.28,2
192.168.195.102,2
192.168.195.111,1
192.168.195.112,2
192.168.195.10,3
192.168.195.29,3
192.168.195.113,3
192.168.195.114,4
192.168.195.115,5
192.168.195.121,1
192.168.195.122,2
192.168.195.123,3
192.168.195.124,4
192.168.195.31,5
192.168.195.125,5
192.168.195.126,6
192.168.195.127,7
192.168.195.128,8
192.168.195.131,1
192.168.195.132,2
192.168.195.133,3
192.168.195.34,4
192.168.195.134,4
192.168.195.135,5
192.168.195.136,6
192.168.195.141,1
